,许可证编号,公司名称,更改日期
109,Z2012831000019,上海申鑫电子支付股份有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150337/index.html
110,Z2013331000012,上海金诚通电子支付服务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150352/index.html
111,Z2013431000011,中钢银通信息技术服务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150355/index.html
112,Z2013631000019,上海润通实业投资有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150361/index.html
113,Z2013831000017,上海巾帼三六五企业服务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150364/index.html
114,Z2014032000012,江苏爱心消费支付服务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150370/index.html
115,Z2014132000011,江苏大众书局商务服务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150373/index.html
116,Z2014232000010,南京万商商务服务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150376/index.html
117,Z2014332000019,江苏鸿兴达邮政商务资讯有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150379/index.html
118,Z2014432000018,江苏旅通商务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150382/index.html
119,Z2014532000017,无锡市民卡有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150385/index.html
120,Z2014632000016,苏州市民卡有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150388/index.html
121,Z2014851000010,成都天府通金融服务股份有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150394/index.html
122,Z2015044000015,中付支付科技有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150400/index.html
123,Z2015361000010,陕西易通商联网络支付科技有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150406/index.html
124,Z2015511000019,北京恒信通电信服务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150412/index.html
125,Z2015611000018,北京和融通支付科技有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150415/index.html
126,Z2015911000015,北京银通支付有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150425/index.html
127,Z2016111000011,北京华瑞富达科技有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150428/index.html
128,Z2016211000010,北京高汇通商业管理有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150431/index.html
129,Z2016711000015,北京商银科技有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150440/index.html
130,Z2016950000015,重庆城市通卡支付有限责任公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150446/index.html
131,Z2017050000012,重庆市公众城市一卡通有限责任公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150449/index.html
132,Z2017150000011,重庆千礼科技有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150452/index.html
133,Z2017314000014,山西易联支付数据处理有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150455/index.html
134,Z2017522000012,吉林省通卡支付股份有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150458/index.html
135,Z2018035000010,福建一卡通网络有限责任公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150467/index.html
136,Z2018235000018,福建省瑞特商业支付有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150473/index.html
137,Z2018434000017,安徽省万事通金卡通科技信息服务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150479/index.html
138,Z2018736000012,江西缴费通信息技术股份有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150485/index.html
